Label,Source,Sentence,
Greenhouse Gas,HOYA,"The HOYA Group is globally conducting its environmental protection activities, in which attempts are being made to reduce CO2 emissions by paying special attention to its ""energy consumption.""","The Hoya group is carrying out its environmental protection activities globally, in which attempts are made to reduce CO2 emissions by paying particular attention to its ""energy consumption""."
Greenhouse Gas,HOYA,The HOYA Group also sets the following Group-wide reduction target for CO2 emissions and is directing its environmental protection activities toward accomplishing it.,
Greenhouse Gas,HOYA,"That is, the HOYA Group aims to achieve a 5-percent reduction of CO2 emissions from the fiscal year ended March 31, 2017 by the fiscal year ending March 31, 2021 (compared with the level of the fiscal year ended March 31, 2015).",
Greenhouse Gas,HOYA,"The CO2 emissions of the HOYA Group in the fiscal year ended March 31, 2019 were 405,770 tons of CO2. (Scope 1 and 2 emissions)",
Greenhouse Gas,HOYA,"The reduction of CO2 emissions was 19.3 percent in Japan from the level of the fiscal year ended March 31, 2015.",
Greenhouse Gas,HOYA,The emissions were 6.6 percent increased overseas.,
Greenhouse Gas,HOYA,"As a result, the emissions were 1.2% increased globally.",
Greenhouse Gas,HOYA,"Note that CO2 emissions are calculated, for each of the production bases*1, from electric power and fuel consumptions as determined by the summation formulas standardized for the whole HOYA Group.",
Greenhouse Gas,HOYA,"As part of the actions for energy saving and power saving, each of the facilities is pushing ahead with the replacement of lighting fixtures and air conditioning equipment with those of the energy-saving type.",
Greenhouse Gas,HOYA,"At each of the Group's production bases, efforts are being made for energy saving by devising more efficient modes of operation and replacing existing equipment with energy-saving type equipment in an appropriate order.",
Greenhouse Gas,HOYA,(HOYA expects to cut its annual CO2 emissions by 618 tons.),
Greenhouse Gas,HOYA,Examples of energy/power saving initiatives,
Greenhouse Gas,HOYA,Efforts to reduce greenhouse gas emissions at overseas offices using Joint Crediting Mechanism (JCM),
Greenhouse Gas,HOYA,"In 2016, we introduced a heat recovery heat pump at the eyeglass lens plant in Vietnam.",
Greenhouse Gas,HOYA,It is used to save energy and reduce CO2 emissions by using the heat that used to be exhausted to the outside air when cold heat was supplied as a source of cold heat for the production process and as an auxiliary heat source for heating the water used in the manufacturing process.,
Greenhouse Gas,HOYA,"Before introducing the heat recovery heat pump, we used only electric heaters to obtain the desired temperature.",
Greenhouse Gas,HOYA,"At the eyeglass lens plant in Vietnam, one of the existing centrifugal chillers was replaced with a highly efficient inverter centrifugal chiller.",
Greenhouse Gas,HOYA,"By using the new chiller for regular operation and the old one as backup equipment, we achieved a lower introduction cost, improved energy efficiency, and reduced CO2 emission at the same time.",
Response to Climate Change,TOSHIBA,As a response to climate change:,
Response to Climate Change,TOSHIBA,We will achieve carbon neutrality throughout the entire value chain.,
Response to Climate Change,TOSHIBA,Achieve carbon neutrality by FY2050,
Response to Climate Change,TOSHIBA,70% reduction of GHG emissions by FY2030 (from the FY2019 level),
Response to Climate Change,TOSHIBA,80% reduction of use-phase emissions of products and services associated with power supply sold by FY2030:(from the FY2019 level),
Response to Climate Change,TOSHIBA,14% reduction of use-phase emission of products and services associated with power consumption sold by FY2030:(from the FY2019 level),
Response to Climate Change,TOSHIBA,Reduce GHG emissions derived from purchased products and services in collaboration with suppliers (base year TBD),
Response to Climate Change,TOSHIBA,Promote business that related to climate change adaptation measures,
Response to Climate Change,TOSHIBA,Total GHG generated from business activities:1.05million t-CO2,
Response to Climate Change,TOSHIBA,Reduction of GHG emissions by products and services*,
Response to Climate Change,TOSHIBA,Products and services associated with power supply:21.61million t-CO2,
Response to Climate Change,TOSHIBA,Products and services associated with power consumption:6.95million t-CO2,
Response to Climate Change,TOSHIBA,"Under Environmental Future Vision 2050 and the Seventh Environmental Action Plan, Toshiba Group will promote the reduction of GHG emissions in product manufacturing and in the use of products and services; and the reduction of GHG emissions derived from products and services purchased in cooperation with suppliers, to respond to climate change throughout its entire value chain.",
Response to Climate Change,TOSHIBA,Toshiba Group also aims to contribute to the realization of a sustainable society by promoting businesses related to climate change adaptation measures.,
Response to Climate Change,TOSHIBA,"As global warming continues and temperatures rise, we are likely to experience more natural disasters including typhoons, floods, and tornadoes, which seriously affect people's daily lives and society.",
Response to Climate Change,TOSHIBA,Other concerns include droughts due to low precipitation and sea level rise due to melting glaciers on land.,
Response to Climate Change,TOSHIBA,"To respond to these impacts of global warming, the world is accelerating the movement toward achieving carbon neutrality by lowering GHG emissions to net zero by 2050.",
Response to Climate Change,TOSHIBA,"We are required to respond to climate change caused by global warming by striving to reduce GHG emissions in both business activities and products and services, thereby to help achieve carbon neutrality.",
Response to Climate Change,TOSHIBA,"With the aim of achieving carbon neutrality throughout its entire value chain by FY2050, Toshiba Group has been driving responses to climate change through various measures.",
Response to Climate Change,TOSHIBA,"They include reducing energy consumption and the volume of GHG used in production processes in Japan and abroad, introducing energy-saving processes and equipment, using renewable energy, providing energy technologies to realize decarbonization, and reducing electricity consumption in the use of products and services we develop.",
Response to Climate Change,TOSHIBA,We will also focus on the reduction of GHG emissions from products and services purchased in cooperation with suppliers and climate change adaptation solutions.,
Response to Climate Change,TOSHIBA,"As a new initiative under the Seventh Environmental Action Plan, Toshiba Group will also focus on the reduction of GHG emissions through the use of its digital technologies that enable remote operation, automation, and intelligence.",
Response to Climate Change,TOSHIBA,"In FY2020, we acquired approval of the Science Based Targets (SBT)*1 initiative regarding our GHG reduction target for FY2030.",
Response to Climate Change,TOSHIBA,We were selected for the prestigious A List in the CDP*2 Climate Change Report 2020 for our climate change information disclosure.,
Response to Climate Change,TOSHIBA,We have also endorsed the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD)*3 and will continue to focus our efforts on information disclosure regarding the risks and opportunities related to climate change in our Group's businesses.,
Response to Climate Change,TOSHIBA,"As climate change becomes an increasingly serious issue, companies must monitor and manage not only their own GHG emissions but also emissions generated across their entire value chain.",
Response to Climate Change,TOSHIBA,"Based on the GHG Protocol*, which provides international standards for calculating GHG emissions, and the Ministry of the Environment's Basic Guidelines for Calculating GHG Emissions throughout the Supply Chain, Toshiba Group monitors and calculates indirect GHG emissions generated outside the scope of its own business activities (Scope 3) in addition to its own emissions (Scopes 1 and 2).",
Response to Climate Change,TOSHIBA,Toshiba Group will continue working effectively throughout product lifecycles by quantitatively analyzing emissions accordingly.,
Response to Climate Change,TOSHIBA,GHG emissions through the use of sold products account for a high percentage of emissions across the value chain.,
