Label,Source,Sentence,We strive to find products in a responsible manner while working with suppliers to improve their social and environmental practices.
Ethical sourcing and human rights,Wesfarmers,We strive to source products in a responsible manner while working with suppliers to improve their social and environmental practices.,We strive to find products in a responsible manner while working with suppliers to improve their social and environmental practices.
Ethical sourcing and human rights,Wesfarmers,Ethical sourcing has been a key area of focus for the Wesfarmers Group for almost a decade.,
Ethical sourcing and human rights,Wesfarmers,"Our businesses directly source products from nearly 28,000 suppliers in more than 40 countries. Some of the major locations we source from include Australia, Bangladesh, China, India and Indonesia.",
Ethical sourcing and human rights,Wesfarmers,"We do not own the factories where products are made, but instead engage third-party suppliers to manufacture the majority of products. Our supply chains are complex with multiple tiers of suppliers, sometimes across various countries, involved in the production of many diverse products.",
Ethical sourcing and human rights,Wesfarmers,"Our aim is to ensure human rights are understood, respected and upheld across our supply chain.",
Ethical sourcing and human rights,Wesfarmers,The Wesfarmers Ethical Sourcing and Modern Slavery Policy sets the minimum standards expected of the Group's divisions in managing the risk of modern slavery in their supply chains.,
Ethical sourcing and human rights,Wesfarmers,"Consistent with the principles in the Wesfarmers Code of Conduct, we are committed to complying with the laws and regulations of the countries in which our businesses operate and making positive economic, social and environmental contributions, aligned with the principles of honesty, integrity, fairness and respect.",
Ethical sourcing and human rights,Wesfarmers,"The Group's policies prohibit any activities involving modern slavery and commit to safe and healthy working conditions, including the right to freedom of association and collective bargaining.",
Ethical sourcing and human rights,Wesfarmers,"Each year, as part of their ethical sourcing programs, the divisions undertake supplier and factory audits and report critical findings.",
Ethical sourcing and human rights,Wesfarmers,"Where a division identifies an audit finding, it seeks to work in partnership with the supplier to remediate non-conformance, improving conditions for workers.",
Ethical sourcing and human rights,Wesfarmers,Remediation can also include an investment in training or collaboration with industry-based initiatives.,
Ethical sourcing and human rights,Wesfarmers,"Wesfarmers is supportive of the establishment of a Modern Slavery Act in New Zealand. In March 2021, Bunnings, New Zealand Safety Blackwoods and Workwear Group signed a joint letter alongside over 80 New Zealand companies encouraging the New Zealand Government to instigate an inquiry into a potential New Zealand Modern Slavery Act.",
Ethical sourcing and human rights,Wesfarmers,The open letter requests a commitment to consider introducing legislation requiring businesses to collaborate to address modern slavery.,
Ethical sourcing and human rights,Wesfarmers,The Wesfarmers salient human rights issues assessment identified that a key human rights issue for the Group's divisions is maintaining safe and fair workplaces for its team members in its operations.,
